FirstName,LastName,SamAccountName,OUPath,Group
Ethan,Brooks,ethan.brooks,"OU=R3dlab01-IT,DC=R3dlab01,DC=local",R3dlab01-IT_Admins
Mia,Chen,mia.chen,"OU=R3dlab01-IT,DC=R3dlab01,DC=local",R3dlab01-IT_Admins
Noah,Kim,noah.kim,"OU=R3dlab01-IT,DC=R3dlab01,DC=local",R3dlab01-IT_Admins
Priya,Patel,priya.patel,"OU=R3dlab01-IT,DC=R3dlab01,DC=local",R3dlab01-IT_Admins
Owen,Reyes,owen.reyes,"OU=R3dlab01-IT,DC=R3dlab01,DC=local",R3dlab01-IT_Admins
Grace,Liu,grace.liu,"OU=R3dlab01-Finance,DC=R3dlab01,DC=local",R3dlab01-Finance_Users
Marcus,Bell,marcus.bell,"OU=R3dlab01-Finance,DC=R3dlab01,DC=local",R3dlab01-Finance_Users
Sofia,Torres,sofia.torres,"OU=R3dlab01-Finance,DC=R3dlab01,DC=local",R3dlab01-Finance_Users
Derek,Nguyen,derek.nguyen,"OU=R3dlab01-Finance,DC=R3dlab01,DC=local",R3dlab01-Finance_Users
Hannah,Cole,hannah.cole,"OU=R3dlab01-Finance,DC=R3dlab01,DC=local",R3dlab01-Finance_Users
Lucas,Ward,lucas.ward,"OU=R3dlab01-HR,DC=R3dlab01,DC=local",R3dlab01-HR_Users
Nina,Ortiz,nina.ortiz,"OU=R3dlab01-HR,DC=R3dlab01,DC=local",R3dlab01-HR_Users
Tyler,Hayes,tyler.hayes,"OU=R3dlab01-HR,DC=R3dlab01,DC=local",R3dlab01-HR_Users
Amara,Johnson,amara.johnson,"OU=R3dlab01-HR,DC=R3dlab01,DC=local",R3dlab01-HR_Users
Felix,Moreno,felix.moreno,"OU=R3dlab01-HR,DC=R3dlab01,DC=local",R3dlab01-HR_Users
Chloe,Adams,chloe.adams,"OU=R3dlab01-Sales,DC=R3dlab01,DC=local",R3dlab01-Sales_Users
Ryan,Foster,ryan.foster,"OU=R3dlab01-Sales,DC=R3dlab01,DC=local",R3dlab01-Sales_Users
Isabella,Diaz,isabella.diaz,"OU=R3dlab01-Sales,DC=R3dlab01,DC=local",R3dlab01-Sales_Users
Jordan,Pierce,jordan.pierce,"OU=R3dlab01-Sales,DC=R3dlab01,DC=local",R3dlab01-Sales_Users
Maya,Simmons,maya.simmons,"OU=R3dlab01-Sales,DC=R3dlab01,DC=local",R3dlab01-Sales_Users
